Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
0.0,17.82,32.46,0.0,17.82,0.0,0.0
0.1,17.8062,32.4562,-0.0381,17.7681,-0.1381,-0.519
0.2,17.8177,32.45,-0.0619,17.7558,0.1156,-0.1225
0.3,17.8417,32.45,0.0,17.8417,0.2398,0.8589
0.4,17.8657,32.45,0.0,17.8657,0.2398,0.2398
0.5,17.8897,32.45,0.0,17.8897,0.2398,0.2398
0.6,17.9187,32.45,0.0,17.9187,0.29,0.29
0.7,17.95,32.404,-0.46,17.49,0.3131,-4.2869
0.8,17.985,32.385,-0.19,17.795,0.35,3.0501
0.9,18.0258,32.37,-0.15,17.8758,0.4081,0.8081
1.0,18.0636,32.3779,0.0786,18.1421,0.3776,2.6633
1.1,18.1077,32.4238,0.4597,18.5674,0.4409,4.2524
1.2,18.1581,32.44,0.1617,18.3198,0.5045,-2.4757
1.3,18.2047,32.3959,-0.4412,17.7635,0.4659,-5.5629
1.4,18.239,31.5229,-8.7303,9.5088,0.3434,-82.5474
1.5,18.2598,30.5559,-9.67,8.5899,0.2078,-9.1891
1.6,18.2949,30.5919,0.36,18.6549,0.3506,100.65
1.7,18.3309,30.4692,-1.2269,17.104,0.36,-15.5088
1.8,18.3546,30.3804,-0.8876,17.467,0.2367,3.6298
