Timestamp,Image_Name,Ego_Lat,Ego_Lon,Ego_Speed,Lead_Lat,Lead_Lon,Lead_Speed,Fused_Distance,Vision_Distance,Lidar_Distance,Relative_Speed,Measurement_Type,Class_Label,BBOX_x1,BBOX_y1,BBOX_x2,BBOX_y2
1768960958.760,0000.jpg,10.49356473,77.94482164,13.41,10.49376849,77.94481528,13.41,22.69,19.23,22.69,0.00,LiDAR,truck,617,289,729,410
1768960959.152,0001.jpg,10.49361293,77.94481945,13.27,10.49381531,77.94481688,13.14,22.53,19.42,22.53,-0.13,LiDAR,truck,614,288,726,411
1768960959.153,0002.jpg,10.49361293,77.94481945,13.27,10.49381519,77.94481688,10.46,22.52,19.54,22.52,-2.81,LiDAR,truck,612,288,723,412
1768960959.159,0003.jpg,10.49361293,77.94481945,13.27,10.49381515,77.94481688,11.09,22.51,19.35,22.51,-2.18,LiDAR,truck,609,288,721,412
1768960959.162,0004.jpg,10.49361293,77.94481945,13.27,10.49381511,77.94481688,11.31,22.51,19.25,22.51,-1.96,LiDAR,truck,607,288,719,412
1768960959.163,0005.jpg,10.49361293,77.94481945,13.27,10.49381506,77.94481688,10.62,22.50,19.35,22.50,-2.64,LiDAR,truck,605,288,717,412
1768960959.172,0006.jpg,10.49361532,77.94481936,13.26,10.49381707,77.94481697,9.86,22.46,19.40,22.46,-3.40,LiDAR,truck,603,288,715,411
1768960959.179,0007.jpg,10.49361532,77.94481936,13.26,10.49381703,77.94481697,10.68,22.45,19.43,22.45,-2.57,LiDAR,truck,601,288,712,411
1768960959.180,0008.jpg,10.49361532,77.94481936,13.26,10.49381696,77.94481697,9.34,22.45,19.24,22.45,-3.92,LiDAR,truck,598,288,711,412
1768960959.181,0009.jpg,10.49361532,77.94481936,13.26,10.49381689,77.94481697,8.66,22.44,19.24,22.44,-4.59,LiDAR,truck,596,288,708,412
1768960959.182,0010.jpg,10.49361532,77.94481936,13.26,10.49381684,77.94481697,8.53,22.43,19.26,22.43,-4.73,LiDAR,truck,594,288,706,413
1768960959.226,0011.jpg,10.49362011,77.94481919,13.24,10.49382162,77.94481714,9.92,22.43,19.13,22.43,-3.32,LiDAR,truck,591,289,704,413
1768960959.268,0012.jpg,10.49362490,77.94481903,13.23,10.49382590,77.94481732,10.50,22.38,18.97,22.38,-2.73,LiDAR,truck,589,289,703,415
1768960959.562,0013.jpg,10.49366060,77.94481810,13.10,10.49386058,77.94481775,11.08,22.26,18.99,22.26,-2.02,LiDAR,truck,586,290,700,416
1768960959.567,0014.jpg,10.49366060,77.94481810,13.10,10.49386058,77.94481775,11.65,22.26,19.06,22.26,-1.45,LiDAR,truck,585,290,698,415
1768960959.571,0015.jpg,10.49366297,77.94481805,13.09,10.49386284,77.94481771,11.21,22.25,19.18,22.25,-1.88,LiDAR,truck,583,290,696,416
1768960959.576,0016.jpg,10.49366297,77.94481805,13.09,10.49386286,77.94481771,11.90,22.25,19.11,22.25,-1.20,LiDAR,truck,582,290,695,414
1768960959.576,0017.jpg,10.49366297,77.94481805,13.09,10.49386280,77.94481771,9.96,22.25,19.13,22.25,-3.13,LiDAR,truck,580,290,693,415
1768960959.580,0018.jpg,10.49366297,77.94481805,13.09,10.49386279,77.94481771,10.86,22.24,19.10,22.24,-2.24,LiDAR,truck,579,290,692,415
1768960959.583,0019.jpg,10.49366297,77.94481805,13.09,10.49386279,77.94481771,11.45,22.24,19.17,22.24,-1.64,LiDAR,truck,578,290,690,415
1768960959.594,0020.jpg,10.49366534,77.94481800,13.09,10.49386513,77.94481766,11.86,22.24,19.22,22.24,-1.23,LiDAR,truck,577,289,690,415
1768960959.636,0021.jpg,10.49367007,77.94481790,13.08,10.49386985,77.94481755,12.22,22.24,19.11,22.24,-0.87,LiDAR,truck,576,290,689,415
1768960959.680,0022.jpg,10.49367480,77.94481780,13.08,10.49387428,77.94481741,12.24,22.21,19.17,22.21,-0.83,LiDAR,truck,576,289,689,415
1768960959.980,0023.jpg,10.49371020,77.94481703,13.05,10.49390871,77.94481591,12.35,22.10,19.17,22.10,-0.69,LiDAR,truck,576,290,688,415
1768960959.981,0024.jpg,10.49371020,77.94481703,13.05,10.49390870,77.94481591,12.49,22.10,19.14,22.10,-0.55,LiDAR,truck,575,291,688,416
1768960959.982,0025.jpg,10.49371020,77.94481703,13.05,10.49390870,77.94481591,12.66,22.10,19.05,22.10,-0.39,LiDAR,truck,575,291,688,416
1768960959.986,0026.jpg,10.49371020,77.94481703,13.05,10.49390870,77.94481591,12.77,22.10,19.02,22.10,-0.27,LiDAR,truck,575,291,688,416
1768960959.987,0027.jpg,10.49371256,77.94481697,13.05,10.49391107,77.94481580,13.18,22.10,18.99,22.10,0.13,LiDAR,truck,575,291,689,417
1768960959.995,0028.jpg,10.49371256,77.94481697,13.05,10.49391107,77.94481580,13.14,22.10,19.01,22.10,0.09,LiDAR,truck,575,291,689,417
1768960959.996,0029.jpg,10.49371256,77.94481697,13.05,10.49391107,77.94481580,13.11,22.10,18.95,22.10,0.06,LiDAR,truck,575,291,689,417
1768960960.010,0030.jpg,10.49371492,77.94481691,13.05,10.49391343,77.94481569,13.08,22.10,18.96,22.10,0.03,LiDAR,truck,576,291,689,416
1768960960.063,0031.jpg,10.49371964,77.94481679,13.05,10.49391799,77.94481546,12.97,22.08,18.92,22.08,-0.08,LiDAR,truck,576,291,690,416
1768960960.100,0032.jpg,10.49372436,77.94481667,13.06,10.49392270,77.94481526,13.00,22.08,18.99,22.08,-0.06,LiDAR,truck,576,290,690,416
1768960960.138,0033.jpg,10.49372909,77.94481654,13.07,10.49392744,77.94481504,13.04,22.08,18.94,22.08,-0.03,LiDAR,truck,576,289,690,415
